smallcode,total,APPROVED BY Pengawas,COMPLETED BY Admin Kabupaten,DRAFT,EDITED BY Admin Kabupaten,OPEN,REJECTED BY Admin Kabupaten,REJECTED BY Pengawas,REVOKED BY Admin Kabupaten,REVOKED BY Pengawas,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT
6.40901E+15,94,86,0,0,2,3,0,0,0,0,3,0
6.40901E+15,58,0,0,0,0,58,0,0,0,0,0,0
6.40901E+15,72,69,0,0,3,0,0,0,0,0,0,0
6.40901E+15,105,88,0,0,1,2,0,0,0,0,14,0
6.40901E+15,148,47,0,0,0,92,0,0,0,0,9,0
6.40901E+15,72,3,0,0,0,67,0,0,0,0,2,0
6.40901E+15,76,0,0,0,0,73,0,0,0,0,3,0
6.40901E+15,93,83,0,0,0,0,6,3,0,0,0,1
6.40901E+15,44,32,0,0,0,0,0,0,0,0,12,0
6.40901E+15,44,0,0,0,0,43,0,0,0,0,1,0
6.40901E+15,32,0,0,0,0,4,0,0,0,0,28,0
6.40901E+15,57,0,0,0,0,46,0,0,0,0,11,0
6.40901E+15,69,0,0,0,0,63,0,0,0,0,6,0
6.40901E+15,76,0,0,0,0,62,0,2,0,0,12,0
6.40901E+15,56,49,0,0,1,0,0,1,0,0,5,0
6.40901E+15,66,41,0,0,0,7,0,0,0,3,15,0
6.40901E+15,2,0,0,0,0,2,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,1,0,0,0,0,1,0,0,0,0,0,0
6.40901E+15,65,2,0,0,0,61,0,0,0,0,2,0
6.40901E+15,68,16,0,0,0,15,0,0,0,0,37,0
6.40901E+15,93,64,0,0,3,9,0,8,0,0,9,0
6.40901E+15,107,106,0,0,0,0,1,0,0,0,0,0
6.40901E+15,130,94,0,2,0,7,0,11,0,0,16,0
6.40901E+15,136,129,0,2,2,0,1,1,0,0,1,0
6.40901E+15,95,0,0,0,0,95,0,0,0,0,0,0
6.40901E+15,105,0,0,0,0,105,0,0,0,0,0,0
6.40901E+15,119,54,0,0,0,51,0,0,0,0,14,0
